uid,financial_application_rk,retro_date,logit_default,logit_grace03
1465546,69177158,2015-09-20,-2.071899,-1.90975
1497062,78053776,2016-03-12,-3.052363,-1.092316
411480,71444121,2015-10-22,-1.753884,-0.617423
2089674,68075402,2015-08-30,-2.208822,-0.328686
839145,62400835,2015-03-29,-1.828241,-0.346139
94566,77923691,2016-03-09,-3.137065,-1.703212
682114,65833071,2015-07-10,-3.644247,1.507107
2066879,62836110,2015-04-12,-2.830511,-0.269543
1823305,67787478,2015-08-23,-2.999384,-0.605245
1319267,70701984,2015-10-06,-3.752891,-0.811074
444389,67887770,2015-08-25,-2.119181,-1.12213
39995,63698439,2015-05-08,-1.73437,-1.408582
671828,61588929,2015-03-01,-1.835341,-0.378214
1857395,67484881,2015-08-16,-3.502528,-0.782424
1835587,63512385,2015-05-02,-3.102716,-0.455168
1007923,69945948,2015-09-23,-2.679946,-0.370656
2416584,77706328,2016-03-04,,-0.55768
194386,59612506,2014-12-31,-3.11674,1.369496
1803132,64166649,2015-05-24,-1.996916,-1.232814
2170549,70514464,2015-10-02,-2.960496,-0.287239
2055585,72061342,2015-11-04,-2.691302,-0.56134
477942,62302085,2015-03-26,-1.905883,-0.937316
617945,65890881,2015-07-12,-2.199002,-1.241204
1639431,68028537,2015-08-28,-3.556786,-0.440726
2072277,61634091,2015-03-03,-3.112193,-0.926331
942120,64874512,2015-06-14,-1.671949,-1.483456
1457223,73463733,2015-12-06,-2.674795,-0.09469
370631,69961261,2015-09-23,-2.10398,0.68865
2444018,70373124,2015-09-29,-4.140092,-1.027315
747249,78364009,2016-03-18,,-0.367293
1342725,62391791,2015-03-29,-2.948672,0.350484
39396,72864284,2015-11-21,-2.651526,-1.233944
645893,68954947,2015-09-16,-1.014199,-0.525415
1174085,71394222,2015-10-21,-3.324124,-0.024968
2604396,76439560,2016-02-07,-2.9735,-0.560351
220368,67047791,2015-08-05,-1.222615,-0.704285
447953,69055714,2015-09-17,,-0.37391
1121513,70629227,2015-10-05,-4.695319,0.029805
1246429,73413815,2015-12-04,-4.590153,-0.84989
1263190,63331348,2015-04-26,-2.830397,0.390334
1630316,78764114,2016-03-26,,-1.067193
2482923,62640293,2015-04-06,-2.804835,-0.902064
2287885,63744648,2015-05-10,,-1.312356
1628380,69106874,2015-09-18,-1.481156,-1.838959
185482,63528860,2015-05-03,-2.419545,-0.628741
46085,61203818,2015-02-16,-3.157029,-0.991597
1781980,68601196,2015-09-10,-2.544008,0.447949
136552,65944160,2015-07-12,-2.371768,1.854763
487642,63518579,2015-05-02,-2.968033,-0.33311
2338772,74293732,2015-12-23,,-1.143726
1049406,63955411,2015-05-17,-2.667642,-0.505173
1569001,63370065,2015-04-27,-2.146515,-1.245188
1240720,66348237,2015-07-20,-2.858715,-0.627358
1980338,67332026,2015-08-12,-1.809216,-1.750129
1422496,69958077,2015-09-23,-3.718579,-0.433358
1214639,62455697,2015-03-31,-3.650267,0.578584
1015069,68205188,2015-09-01,-3.553065,-0.420143
2579353,73678054,2015-12-10,-4.420546,-0.05431
795557,71092322,2015-10-14,-2.221537,-1.406017
1879427,63801641,2015-05-12,,-0.809325
1579155,70097361,2015-09-25,-2.616411,0.149888
229173,60994102,2015-02-11,-1.79349,-1.345494
1212983,77079298,2016-02-20,-4.958231,1.094471
1423120,71435115,2015-10-22,-3.993487,0.200918
2434308,75240739,2016-01-13,,-0.450191
345495,63048292,2015-04-17,-0.257903,-1.171903
2438181,65908849,2015-07-12,-2.280749,-0.905571
2403927,63677627,2015-05-07,-3.112577,-0.550203
1910559,63095783,2015-04-19,-3.550146,-0.641232
1509975,71399736,2015-10-21,-2.220264,-1.930704
316018,60493860,2015-01-28,-3.032154,-0.522702
414912,74115642,2015-12-20,-1.022677,-1.293668
1670780,71460151,2015-10-22,-2.005537,-0.452838
1344633,61961239,2015-03-15,-2.241808,0.874173
1834033,62956841,2015-04-15,-2.678318,-1.395524
51233,73245223,2015-11-30,-3.289547,-0.964603
640424,64918647,2015-06-15,-2.232345,-1.344867
769369,72702001,2015-11-17,-4.029195,-0.379681
2058070,68736045,2015-09-13,-1.427622,-0.894103
1378217,71538001,2015-10-24,,-0.419315
1638481,63025863,2015-04-16,-1.283218,-0.375091
1721327,71432730,2015-10-22,-3.814968,-0.250528
293695,73091931,2015-11-26,-3.108643,-1.124192
1037072,75243741,2016-01-13,-2.592763,-1.702853
1845783,63379782,2015-04-27,-2.15361,-0.146707
1288588,60289647,2015-01-21,-1.367704,-1.866648
1392462,73905560,2015-12-15,-2.686568,-1.618487
2468791,63936467,2015-05-16,,-0.61754
946876,71341479,2015-10-20,-2.416417,-0.095745
1076318,67653254,2015-08-20,-3.04699,1.523469
2087797,70400231,2015-09-30,-1.403829,-0.370656
825538,68402258,2015-09-06,-3.665951,-0.417775
2072108,71078246,2015-10-14,-4.186037,-0.487481
1589481,72906591,2015-11-22,-2.374333,0.662821
2501152,64669933,2015-06-09,-1.721334,-0.721087
2362829,63501972,2015-05-01,-2.113239,0.168335
2287975,68040809,2015-08-29,,-1.32471
1238213,71862266,2015-10-30,-3.046613,0.025411
1857443,77155904,2016-02-22,-2.145803,-0.892646
827156,73470784,2015-12-06,-2.955415,-0.975851
159523,66639724,2015-07-27,-3.392003,-1.075549
2407050,62800674,2015-04-10,-1.298608,-1.503699
1630648,67609711,2015-08-19,-1.576618,-2.242698
75244,73401450,2015-12-04,-3.701886,-0.494499
698367,68277933,2015-09-03,-2.928365,-0.704574
180644,68470623,2015-09-07,-2.885162,0.00862
2503224,64859923,2015-06-13,-2.786834,-0.159558
731112,60577538,2015-01-31,-1.87364,-1.246568
2301824,67336976,2015-08-12,-1.844901,-0.599156
903972,64419183,2015-06-01,,-1.131529
681449,66749417,2015-07-29,-3.646771,-0.262334
1415054,73154911,2015-11-28,-1.848482,-1.020361
400477,71540133,2015-10-24,-2.442565,-1.304361
1767487,66222505,2015-07-18,-3.377608,-0.232095
301457,65894521,2015-07-12,-1.126287,-0.313208
2377368,74997708,2016-01-08,-3.133958,-1.737204
2027054,74043205,2015-12-18,-2.018848,-0.331209
122555,67501621,2015-08-17,-2.300585,-0.491752
2317666,78382242,2016-03-18,-0.312254,-0.920065
1540786,71355147,2015-10-20,-2.260094,-0.588572
2516909,68193745,2015-09-01,-4.272874,-0.180764
611426,68341861,2015-09-04,,-0.747107
342848,63569324,2015-05-04,,-0.544343
1348705,68747178,2015-09-13,-2.016064,0.097934
880094,70553366,2015-10-03,,0.134233
94035,63871368,2015-05-14,-3.24435,0.906895
2598135,68247441,2015-09-02,-3.180861,-0.600368
1123130,62804118,2015-04-10,-3.398332,-0.149772
1998547,66228095,2015-07-18,-3.375769,0.144677
319182,65638554,2015-07-06,-2.294026,-0.680678
2363522,70099408,2015-09-25,-3.074488,-0.358612
1930386,59768466,2015-01-07,-1.258743,-1.389355
2321851,60521927,2015-01-29,-2.164707,-1.638311
1428538,73622445,2015-12-09,-2.363342,-0.370656
861637,72457844,2015-11-12,-1.477609,-1.056947
1734893,63385801,2015-04-27,-1.501708,-1.106814
2399214,62291124,2015-10-02,,-1.727813
841300,68021919,2015-08-28,-2.174083,-0.552915
2441311,77360658,2016-02-26,-2.068247,-1.091514
1267626,63000784,2015-04-16,-3.864448,0.152236
2316139,70747661,2015-10-07,,-0.301035
2596706,64336017,2015-05-29,-1.815669,-1.461185
749842,71043024,2015-10-13,,-0.602177
380493,73700915,2015-12-11,-3.029182,-1.089843
2013294,61924499,2015-03-13,-2.651019,-0.644073
104178,61077998,2015-02-12,-1.618323,-1.590405
1940941,66978585,2015-08-03,-2.170892,-1.846933
785039,67175020,2015-08-08,-0.72322,-0.980649
1700707,68568294,2015-09-09,-2.216298,-0.476523
1102749,71437175,2015-10-22,-3.941017,0.059238
2142792,64420818,2015-06-01,-2.608029,-0.795392
2088466,64229221,2015-05-26,-3.42782,-1.105208
92884,63597507,2015-05-05,-2.745194,-1.329385
849252,68801026,2015-09-14,-2.131991,-0.3066
94845,67888716,2015-08-25,-2.324267,-1.280624
153304,72446697,2015-11-12,,-0.136945
99260,69869847,2015-09-22,-1.790774,-0.016434
1674196,76896829,2016-02-16,-2.716381,-0.866189
13271,70847785,2015-10-09,-2.251491,-0.844146
289286,60282672,2015-01-21,-1.765093,-0.488774
1718952,65125113,2015-06-21,-1.546367,-1.726081
512825,63068164,2015-04-18,-2.544131,-1.264485
483171,72988445,2015-11-24,-2.352196,-1.504515
1186367,63135823,2015-04-20,-2.460997,-0.194621
783871,60193652,2015-01-19,-2.085876,-0.287239
342494,63172541,2015-04-21,-2.651236,-0.711203
882745,64541328,2015-06-04,-3.334068,-0.329798
1110420,70979573,2015-10-12,-3.807775,-1.003667
1784881,78798351,2016-03-27,-2.220356,-1.030009
2309248,76424374,2016-02-07,-4.582598,-0.658251
1068713,62506435,2015-04-01,-3.525719,-1.306574
2137376,63112239,2015-04-19,-3.918461,-0.581523
1343695,65286487,2015-06-26,,-0.770376
2057749,62843720,2015-04-12,-2.366136,-1.400078
1211585,71296077,2015-10-19,-1.823099,-2.020217
1585906,63209487,2015-04-22,-2.431784,0.133746
2527146,72045593,2015-11-04,-1.200479,-1.540658
570955,65661135,2015-07-06,-3.376058,-1.298543
2395983,62135147,2015-03-21,-2.15991,-1.321979
540535,63906885,2015-05-15,-2.133987,-1.615622
