uid,retro_date,financial_application_rk,partition,tcs_model_income
518326,2015-03-09,61776334,train,49980.895469275
518339,2015-05-04,63553483,test,46060.392146592
518411,2015-05-14,63867773,test,40571.388414827
518413,2015-08-09,67212073,test,55462.235002997
518416,2016-01-13,75215128,out_of_time,60698.842895511
518471,2015-07-14,66036921,train,76392.033070077
518586,2015-06-23,65174590,test,18878.575115292
518630,2015-12-30,74722040,train,39382.721164
518762,2016-01-18,75454885,out_of_time,14892.990716
518802,2015-04-03,62556835,train,24588.854964
518847,2015-11-04,72049071,train,41323.94794419
518887,2015-03-20,62118208,train,83166.79123802
518899,2015-12-12,73742820,train,42083.093083991
518917,2015-07-02,65513505,train,54311.037122177
